course_slug,course_title,module_title,lesson_id,lesson_title,lesson_position,question_position,prompt,option_a,option_b,option_c,option_d,correct_option,explanation,pass_score
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,8,Welche Aussage passt zu einem Bewerbungsschreiben?,Es soll auf die Stelle bezogen sein,Es braucht keine Struktur,Es ist nur ein Chattext,Es besteht nur aus Emojis,A,Bewerbungsschreiben sollen auf Stelle und Profil zugeschnitten sein.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,9,Weshalb ist Verständlichkeit wichtig?,Damit die Botschaft klar ankommt,Damit Texte länger werden,Damit niemand antwortet,Damit alles kompliziert wirkt,A,Verständlichkeit ist zentral für gelingende Kommunikation.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-3,Berufliche Kommunikation,3,10,Was verbessert eine Nachricht im Beruf?,Klare Absätze und präzise Angaben,Nur Umgangssprache,Viele Abkürzungen ohne Erklärung,Ironie in jedem Satz,A,Klare Struktur und präzise Angaben erleichtern das Verstehen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,1,Was regelt der Lehrvertrag?,Die Rechte und Pflichten im Lehrverhältnis,Nur die Freizeit,Nur die Prüfungstage,Nur den Wohnort,A,Der Lehrvertrag regelt die wesentlichen Punkte der Ausbildung.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,2,Wer unterschreibt einen Lehrvertrag?,Die beteiligten Vertragsparteien,Nur die Klasse,Nur die Gemeinde,Nur die Freunde,A,Ein Vertrag wird von den beteiligten Parteien abgeschlossen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,3,Was gehört zu den Pflichten von Lernenden?,Sorgfältig arbeiten,Arbeitszeiten beliebig wählen,Prüfungen ignorieren,Material absichtlich beschädigen,A,Lernende müssen ihre Arbeit sorgfältig und verantwortungsvoll ausführen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,4,Was gehört zu den Pflichten des Betriebs?,Ausbildung sicherstellen,Nur Befehle geben,Ferien streichen,Schulbesuch verhindern,A,Der Betrieb muss die fachgerechte Ausbildung ermöglichen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,5,Was ist bei Problemen im Betrieb sinnvoll?,Frühzeitig das Gespräch suchen,Sofort kündigen ohne Abklärung,Einfach fernbleiben,Gerüchte verbreiten,A,Konflikte sollten möglichst früh angesprochen werden.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,6,Was bedeutet Sorgfaltspflicht?,Arbeit gewissenhaft ausführen,Alles möglichst schnell und egal wie machen,Nur zuschauen,Regeln ignorieren,A,"Sorgfaltspflicht heisst, Aufgaben verantwortungsvoll zu erledigen.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,7,Was ist ein Weisungsrecht des Arbeitgebers?,Er darf Arbeitsanweisungen geben,Er darf Gesetze abschaffen,Er darf alles privat bestimmen,Er darf Lohn nie zahlen,A,Im Betrieb können im Rahmen des Rechts Anweisungen gegeben werden.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,8,Was ist bei Arbeitszeiten wichtig?,Betriebliche und rechtliche Vorgaben beachten,Nur auf Bauchgefühl hören,Immer spontan entscheiden,Pausen verbieten,A,Arbeitszeiten richten sich nach Regeln und Vorgaben.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,9,Was ist ein Kündigungsgrund im Lehrverhältnis?,Eine rechtlich begründete Auflösung des Vertrags,Eine gute Laune,Ein Scherz im Unterricht,Ein beliebiger Wunsch von Dritten,A,Die Auflösung eines Lehrvertrags braucht Gründe und Verfahren.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-4,Lehrvertrag und Arbeitsrecht,4,10,Warum ist Berufsfachschule Teil der Lehre?,Weil betriebliche und schulische Bildung zusammengehören,Weil sie freiwillig ohne Nutzen ist,Weil nur dort Ferien geplant werden,Weil sie nur für Noten da ist,A,Die berufliche Grundbildung verbindet Praxis und schulische Bildung.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,1,Wann kommt ein Vertrag zustande?,Wenn beide Seiten übereinstimmen,Wenn nur eine Person etwas denkt,Wenn niemand zustimmt,Nur wenn alles gratis ist,A,Verträge entstehen durch übereinstimmende Willensäusserungen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,2,Was sollte man vor dem Unterschreiben tun?,Vertrag vollständig lesen,Blind unterschreiben,Nur den Titel anschauen,Nur das Datum lesen,A,Verträge sollten vor dem Unterzeichnen geprüft werden.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,3,Was ist eine Kaution?,Eine Sicherheitsleistung,Ein Feriengeld,Eine Prämie,Ein Stundenlohn,A,"Eine Kaution dient als Sicherheit bei einem Vertragsverhältnis, etwa im Mietrecht.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,4,Was sind AGB?,Allgemeine Geschäftsbedingungen,Amtliche Gebührenblätter,Anonyme Geldbeiträge,Automatische Grundbudgets,A,AGB regeln wichtige Vertragsbedingungen im Hintergrund.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,5,Was ist bei einem Kaufvertrag zentral?,Ware und Preis,Nur die Farbe,Nur der Lieferwagen,Nur das Logo,A,Beim Kaufvertrag geht es zentral um Ware und Preis.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,6,Was kann bei Nichtbezahlen passieren?,Mahnungen und zusätzliche Kosten,Automatisch ein Preisnachlass,Gar nichts,Ein Geschenk,A,Zahlungsverzug führt oft zu Mahnungen und Gebühren.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,7,Was ist bei einer Mängelrüge wichtig?,Den Mangel möglichst konkret melden,Nur schimpfen,Nichts sagen,Das Produkt verstecken,A,Mängel sollten klar beschrieben und zeitnah gemeldet werden.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,8,Warum sind Vertragsdetails wichtig?,Weil Rechte und Pflichten daraus folgen,Weil sie nur Dekoration sind,Weil sie nie gelten,Weil sie zufällig entstehen,A,"Vertragsdetails bestimmen, was vereinbart wurde.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,9,Was ist Leasing eher?,Eine Nutzungsform mit vertraglichen Zahlungen,Ein Geschenk,Eine Steuerform,Ein Wahlrecht,A,Leasing ist eine vertraglich geregelte Nutzung gegen Zahlung.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-5,Verträge im Alltag,5,10,Was schützt vor Missverständnissen bei Verträgen?,Klare Formulierungen und Nachfragen,Nur Hoffnung,Mündliche Gerüchte,Unleserliche Notizen,A,Klarheit und Nachfragen verringern Missverständnisse.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,1,Wozu dient ein Budget?,Zur Planung von Einnahmen und Ausgaben,Zum Zählen von Ferien,Zum Berechnen von Schulnoten,Zum Speichern von Passwörtern,A,Ein Budget schafft Übersicht über die finanzielle Situation.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,2,Was sind Fixkosten?,Regelmässige Ausgaben in ähnlicher Höhe,Jede spontane Ausgabe,Nur Luxusausgaben,Nur Bargeldreserven,A,"Fixkosten fallen meist regelmässig an, etwa Miete oder Abo.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,3,Was ist der Nettolohn?,Lohn nach Abzügen,Lohn vor Abzügen,Nur der Bonus,Nur der Monatsplan,A,Der Nettolohn ist der effektiv ausbezahlte Lohn.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,4,Warum ist Sparen sinnvoll?,Um Reserven für Unvorhergesehenes zu haben,Damit Geld verschwindet,Nur damit man nichts ausgeben darf,Weil Rechnungen sonst gratis werden,A,"Sparen hilft, auf unerwartete Ausgaben vorbereitet zu sein.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,5,Was ist eine variable Ausgabe?,"Eine Ausgabe, die sich verändert",Immer die gleiche Miete,Ein festes Jahresabo,Eine unveränderliche Gebühr,A,Variable Ausgaben sind nicht jeden Monat gleich hoch.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,6,Was hilft gegen Geldprobleme?,Ausgaben prüfen und Budget anpassen,Rechnungen ignorieren,Alles auf Kredit kaufen,Nie Kontoauszüge ansehen,A,Übersicht und Planung helfen bei Geldproblemen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,7,Was ist ein Dauerauftrag?,Eine automatische regelmässige Zahlung,Ein Strafbefehl,Ein Arbeitszeugnis,Eine Bewerbung,A,Daueraufträge erleichtern wiederkehrende Zahlungen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,8,Warum sollte man Preise vergleichen?,Um günstiger und bewusster zu entscheiden,Damit Einkaufen länger dauert,Weil alle Preise gleich sind,Weil Qualität nie zählt,A,Preisvergleiche helfen bei sinnvollen Konsumentscheiden.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,9,Was bedeutet Zahlungsfrist?,Zeitspanne bis zur Bezahlung,Zeit bis zu den Ferien,Dauer eines Gesprächs,Länge einer Probezeit,A,"Die Zahlungsfrist zeigt, bis wann eine Rechnung bezahlt werden muss.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-6,"Lohn, Budget und Fixkosten",6,10,Was ist bei einem Budget zuerst wichtig?,Einnahmen und feste Ausgaben kennen,Nur Wünsche notieren,Nur Freizeit planen,Nur Kleider zählen,A,Ein realistisches Budget beginnt mit den sicheren Einnahmen und Ausgaben.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,1,Wofür steht AHV?,Alters- und Hinterlassenenversicherung,Allgemeine Hausratsversicherung,Amtliche Haftpflichtverordnung,Arbeitshilfe für Verträge,A,Die AHV ist Teil der staatlichen Vorsorge.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,2,Zu welcher Säule gehört die AHV?,Zur 1. Säule,Zur 2. Säule,Zur 3. Säule,Zu keiner Säule,A,Die AHV bildet die 1. Säule des Vorsorgesystems.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,3,Wozu dient die Krankenkasse?,Zur Deckung von Gesundheitskosten gemäss Versicherungsschutz,Zum Bezahlen von Mieten,Zur Finanzierung von Ferien,Zur Abgabe von Lehrzeugnissen,A,Die Krankenkasse übernimmt medizinische Kosten im Rahmen des Versicherungsschutzes.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,4,Was ist eine Prämie?,Der regelmässige Beitrag an eine Versicherung,Eine Busse,Ein Lohnbonus,Ein Mietzins,A,"Prämien sind die Beiträge, die Versicherte zahlen.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,5,Was ist Selbstbehalt?,"Ein Teil der Kosten, den Versicherte selbst tragen",Ein Rabatt auf Miete,Ein Ferienanspruch,Eine Steuerfreiheit,A,Beim Selbstbehalt übernehmen Versicherte einen Teil der Kosten.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,6,Was ist eine Franchise?,"Ein Betrag, den man bei der Krankenkasse zuerst selbst bezahlt",Ein Gratisarztbesuch,Eine Vertragsstrafe,Ein Lehrlingslohn,A,"Die Franchise ist der jährliche Betrag, den man zuerst selbst trägt.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,7,Was ist der Sinn von Versicherungen?,Finanzielle Risiken absichern,Mehr Werbung machen,Nur Formulare sammeln,Freizeit organisieren,A,"Versicherungen helfen, finanzielle Folgen von Risiken abzufedern.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,8,Was gehört eher nicht zur Sozialversicherung?,Handyversicherung,AHV,IV,Unfallversicherung,A,Eine Handyversicherung ist keine staatliche Sozialversicherung.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,9,Warum ist Vorsorge wichtig?,Weil Lebenssituationen wie Alter oder Krankheit abgesichert werden sollen,Damit alle Rechnungen verschwinden,Weil Verträge dann unnötig sind,Damit Budgetplanung verboten wird,A,Vorsorge dient der finanziellen Absicherung in wichtigen Lebenssituationen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-7,Versicherungen und Vorsorge,7,10,Was ist bei Versicherungen sinnvoll?,Leistungen und Kosten vergleichen,Einfach die erstbeste wählen,Nie das Kleingedruckte lesen,Nur auf Werbung hören,A,"Vergleiche helfen, passende Versicherungen zu wählen.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,1,Was ist ein Merkmal der Schweiz?,Föderalismus,Alle Macht bei einer Person,Keine Gesetze,Nur Gemeinden ohne Bund,A,Die Schweiz ist föderal organisiert.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,2,Welche Ebene gehört zur Schweiz?,Bund,Firma,Privatclub,Freizeitgruppe,A,"Bund, Kantone und Gemeinden sind politische Ebenen der Schweiz.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,3,Was bedeutet Gewaltenteilung?,Macht ist auf verschiedene Staatsorgane verteilt,Nur Gerichte regieren,Nur das Parlament entscheidet alles,Eine Person macht alle Gesetze,A,Gewaltenteilung verhindert Machtkonzentration.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,4,Was macht das Parlament vor allem?,Es erlässt Gesetze,Es spielt Gerichtsverfahren durch,Es leitet Firmen,Es ersetzt Gemeinden,A,Die Legislative ist für die Gesetzgebung zuständig.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,5,Was ist eine Abstimmung?,Eine direkte Entscheidung der Stimmberechtigten,Ein Gerichtsentscheid,Eine Lehrabschlussprüfung,Ein Arbeitszeugnis,A,Abstimmungen sind ein Element der direkten Demokratie.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,6,Was beschreibt Rechtsordnung?,"Die Ordnung von Verfassung, Gesetz und Verordnung",Die Reihenfolge von Schulzimmern,Nur Verkehrsregeln,Nur Gerichtshäuser,A,Zur Rechtsordnung gehören verschiedene Ebenen von Rechtsnormen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,7,Was bedeutet Mitwirkung in der Demokratie?,Sich informieren und teilnehmen,Nie wählen gehen,Alles anderen überlassen,Gerüchte verbreiten,A,Demokratie lebt von Beteiligung und Information.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,8,Was ist eine Initiative?,Ein politisches Instrument zur Anregung einer Änderung,Ein Mietvertrag,Ein Lohnausweis,Ein Schulzeugnis,A,Die Volksinitiative ist ein direktdemokratisches Mittel.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,9,Wozu dienen Gesetze?,Sie regeln das Zusammenleben,Sie sind nur Dekoration,Sie gelten nur im Internet,Sie ersetzen jede Diskussion,A,Gesetze schaffen verbindliche Regeln für das Zusammenleben.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-8,Demokratie und Staat Schweiz,8,10,Warum ist politische Bildung wichtig?,Damit Menschen gesellschaftliche Zusammenhänge verstehen,Damit niemand mehr Fragen stellt,Damit nur Fachleute abstimmen,Damit nur Medien entscheiden,A,Politische Bildung stärkt Urteils- und Mitwirkungsfähigkeit.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-9,Medien und Meinungsbildung,9,1,Warum ist Quellenkritik wichtig?,Damit Informationen geprüft werden,Damit Texte länger wirken,Damit nur Werbung gelesen wird,Damit niemand mehr diskutiert,A,"Quellenkritik hilft, Glaubwürdigkeit einzuschätzen.",70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-9,Medien und Meinungsbildung,9,2,Was ist ein Merkmal seriöser Quellen?,Nachvollziehbare Herkunft,Nur viele Emojis,Keine Autorenschaft,Nur Grossbuchstaben,A,Seriöse Quellen sind überprüfbar und transparent.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-9,Medien und Meinungsbildung,9,3,Was kann Medienfreiheit bedeuten?,Medien dürfen ohne staatliche Vorzensur berichten,Alle Medien dürfen lügen,Werbung ersetzt Information,Nur soziale Medien zählen,A,Medienfreiheit schützt unabhängige Berichterstattung.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-9,Medien und Meinungsbildung,9,4,Was ist ein Risiko sozialer Medien?,Manipulation und Desinformation,Automatisch nur Wahrheit,Keine Wirkung auf Meinungen,Keine Verantwortung der Nutzenden,A,Soziale Medien können für Manipulation und Falschinformationen genutzt werden.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-9,Medien und Meinungsbildung,9,5,Warum sollte man Schlagzeilen prüfen?,Weil sie vereinfachen oder zuspitzen können,Weil sie immer vollständig sind,Weil sie nie Einfluss haben,Weil Quellen unnötig sind,A,Schlagzeilen können verkürzen und müssen eingeordnet werden.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-9,Medien und Meinungsbildung,9,6,Was bedeutet Urheberrecht grob?,Werke sind rechtlich geschützt,Alles im Internet ist frei,Nur Bücher sind geschützt,Bilder haben nie Rechte,A,Urheberrecht schützt geistige Leistungen.,70
abu-qv,Allgemeinbildung QV,Allgemeinbildung QV,abu-9,Medien und Meinungsbildung,9,7,Was ist Service public bei Medien?,Ein Grundauftrag zur Versorgung mit wichtigen Informationen,Ein Werberabatt,Ein Streamingabo,Ein Lohnsystem,A,Service public bezeichnet einen öffentlichen Versorgungsauftrag.,70
