course_key,course_name,module_key,module_title,lesson_position,lesson_title,question_type,difficulty,position,question,option_a,option_b,option_c,option_d,correct_option,explanation,source,source_url
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,easy,1,Welche Aussage passt am besten zu «Lernbereiche»?,Sprache und Gesellschaft verbinden; Alltagssituationen bearbeiten,"Nur Grammatik üben; Gesellschaft ausblenden, anhand klarer Kriterien","Nur Tests lösen; Transfer vermeiden, mit Blick auf die Folgen","Einzelwissen sammeln; Zusammenhänge trennen, bei Bedarf im Team",A,"ABU verbindet Sprache, Kommunikation und Gesellschaft in lebensnahen Situationen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,12,Was ist bei «Reflexion» fachlich am wichtigsten?,Kritik abwehren; Anpassung vermeiden,Fehler verstecken; Rückmeldung ignorieren,Nur Resultat zählen; Lernweg ausblenden,Vorgehen beurteilen; Verbesserungen ableiten,D,"Reflexion macht sichtbar, was funktioniert und was verbessert werden kann.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,13,Welche Vorgehensweise ist im Thema «Lernbereiche» richtig?,Sprache und Gesellschaft verbinden; Alltagssituationen bearbeiten,"Nur Grammatik üben; Gesellschaft ausblenden, anhand klarer Kriterien","Nur Tests lösen; Transfer vermeiden, mit Blick auf die Folgen","Einzelwissen sammeln; Zusammenhänge trennen, bei Bedarf im Team",A,"ABU verbindet Sprache, Kommunikation und Gesellschaft in lebensnahen Situationen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,hard,14,Welche Handlung zeigt ein gutes Verständnis von «Kompetenzorientierung»?,Begriffe abschreiben; Anwendung weglassen,Handeln begründen; Ergebnisse reflektieren,Antworten raten; Begründungen vermeiden,Regeln auswendig lernen; Transfer ignorieren,B,"Kompetenz zeigt sich darin, Wissen in Situationen begründet anzuwenden.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,15,Welche Entscheidung ist bei «Selbstständiges Lernen» sinnvoll?,"Aufgaben verschieben; Rückblick auslassen, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall","Nur Hilfe erwarten; Planung vermeiden, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien","Ziele setzen; Lernweg überprüfen, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Zufällig arbeiten; Kontrolle weglassen, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team",C,"Selbstständiges Lernen braucht Ziele, Planung und regelmässige Überprüfung.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,easy,16,Welche Aussage passt am besten zu «Lernstrategien»?,Texte kopieren; Inhalte ungeprüft übernehmen,Alles markieren; Prioritäten vermeiden,Nur auswendig lernen; Zusammenhänge auslassen,Informationen ordnen; Kernaussagen festhalten,D,"Gute Lernstrategien helfen, Wichtiges zu erkennen und verständlich zu sichern.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,17,Was ist bei «Transfer» fachlich am wichtigsten?,Wissen anwenden; Situation erklären,Nur Definitionen nennen; Handlung weglassen,Theorie isolieren; Alltag ausklammern,Beispiele meiden; Praxisbezug trennen,A,"Transfer bedeutet, Gelerntes auf neue berufliche und private Situationen zu übertragen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,18,Welche Vorgehensweise ist im Thema «Reflexion» richtig?,Nur Resultat zählen; Lernweg ausblenden,Vorgehen beurteilen; Verbesserungen ableiten,Kritik abwehren; Anpassung vermeiden,Fehler verstecken; Rückmeldung ignorieren,B,"Reflexion macht sichtbar, was funktioniert und was verbessert werden kann.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,hard,19,Welche Handlung zeigt ein gutes Verständnis von «Lernbereiche»?,"Nur Tests lösen; Transfer vermeiden, mit Blick auf die Folgen","Einzelwissen sammeln; Zusammenhänge trennen, bei Bedarf im Team",Sprache und Gesellschaft verbinden; Alltagssituationen bearbeiten,"Nur Grammatik üben; Gesellschaft ausblenden, anhand klarer Kriterien",C,"ABU verbindet Sprache, Kommunikation und Gesellschaft in lebensnahen Situationen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,20,Welche Entscheidung ist bei «Kompetenzorientierung» sinnvoll?,Antworten raten; Begründungen vermeiden,Regeln auswendig lernen; Transfer ignorieren,Begriffe abschreiben; Anwendung weglassen,Handeln begründen; Ergebnisse reflektieren,D,"Kompetenz zeigt sich darin, Wissen in Situationen begründet anzuwenden.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,easy,21,Welche Aussage passt am besten zu «Selbstständiges Lernen»?,"Ziele setzen; Lernweg überprüfen, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Zufällig arbeiten; Kontrolle weglassen, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team","Aufgaben verschieben; Rückblick auslassen, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall","Nur Hilfe erwarten; Planung vermeiden, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien",A,"Selbstständiges Lernen braucht Ziele, Planung und regelmässige Überprüfung.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,22,Was ist bei «Lernstrategien» fachlich am wichtigsten?,Nur auswendig lernen; Zusammenhänge auslassen,Informationen ordnen; Kernaussagen festhalten,Texte kopieren; Inhalte ungeprüft übernehmen,Alles markieren; Prioritäten vermeiden,B,"Gute Lernstrategien helfen, Wichtiges zu erkennen und verständlich zu sichern.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,23,Welche Vorgehensweise ist im Thema «Transfer» richtig?,Theorie isolieren; Alltag ausklammern,Beispiele meiden; Praxisbezug trennen,Wissen anwenden; Situation erklären,Nur Definitionen nennen; Handlung weglassen,C,"Transfer bedeutet, Gelerntes auf neue berufliche und private Situationen zu übertragen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,hard,24,Welche Handlung zeigt ein gutes Verständnis von «Reflexion»?,Kritik abwehren; Anpassung vermeiden,Fehler verstecken; Rückmeldung ignorieren,Nur Resultat zählen; Lernweg ausblenden,Vorgehen beurteilen; Verbesserungen ableiten,D,"Reflexion macht sichtbar, was funktioniert und was verbessert werden kann.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,25,Welche Entscheidung ist bei «Lernbereiche» sinnvoll?,Sprache und Gesellschaft verbinden; Alltagssituationen bearbeiten,"Nur Grammatik üben; Gesellschaft ausblenden, anhand klarer Kriterien","Nur Tests lösen; Transfer vermeiden, mit Blick auf die Folgen","Einzelwissen sammeln; Zusammenhänge trennen, bei Bedarf im Team",A,"ABU verbindet Sprache, Kommunikation und Gesellschaft in lebensnahen Situationen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,easy,26,Welche Aussage passt am besten zu «Kompetenzorientierung»?,Begriffe abschreiben; Anwendung weglassen,Handeln begründen; Ergebnisse reflektieren,Antworten raten; Begründungen vermeiden,Regeln auswendig lernen; Transfer ignorieren,B,"Kompetenz zeigt sich darin, Wissen in Situationen begründet anzuwenden.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,27,Was ist bei «Selbstständiges Lernen» fachlich am wichtigsten?,"Aufgaben verschieben; Rückblick auslassen, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall","Nur Hilfe erwarten; Planung vermeiden, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien","Ziele setzen; Lernweg überprüfen, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Zufällig arbeiten; Kontrolle weglassen, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team",C,"Selbstständiges Lernen braucht Ziele, Planung und regelmässige Überprüfung.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,28,Welche Vorgehensweise ist im Thema «Lernstrategien» richtig?,Texte kopieren; Inhalte ungeprüft übernehmen,Alles markieren; Prioritäten vermeiden,Nur auswendig lernen; Zusammenhänge auslassen,Informationen ordnen; Kernaussagen festhalten,D,"Gute Lernstrategien helfen, Wichtiges zu erkennen und verständlich zu sichern.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,hard,29,Welche Handlung zeigt ein gutes Verständnis von «Transfer»?,Wissen anwenden; Situation erklären,Nur Definitionen nennen; Handlung weglassen,Theorie isolieren; Alltag ausklammern,Beispiele meiden; Praxisbezug trennen,A,"Transfer bedeutet, Gelerntes auf neue berufliche und private Situationen zu übertragen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,1,Orientierung im ABU,single_choice,medium,30,Welche Entscheidung ist bei «Reflexion» sinnvoll?,Nur Resultat zählen; Lernweg ausblenden,Vorgehen beurteilen; Verbesserungen ableiten,Kritik abwehren; Anpassung vermeiden,Fehler verstecken; Rückmeldung ignorieren,B,"Reflexion macht sichtbar, was funktioniert und was verbessert werden kann.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,easy,1,Welche Aussage passt am besten zu «Adressatengerecht schreiben»?,Zielgruppe beachten; Ton passend wählen,Umgangssprache nutzen; Zweck verfehlen,Details häufen; Kernaussage verstecken,Form ignorieren; Lesende überfordern,A,"Adressatengerechte Texte passen Inhalt, Ton und Form an die Lesenden an.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,medium,2,Was ist bei «Argumentieren» fachlich am wichtigsten?,Meinung behaupten; Belege auslassen,Standpunkt nennen; Begründung liefern,Thema wechseln; Gegenargumente meiden,Gefühle betonen; Sachbezug verlieren,B,"Ein Argument verbindet Standpunkt, Begründung und passende Beispiele.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,medium,3,Welche Vorgehensweise ist im Thema «Gesprächsführung» richtig?,Andere unterbrechen; Antwort erzwingen,Vorwürfe machen; Sachebene verlassen,Aktiv zuhören; Nachfragen stellen,Monolog halten; Perspektiven ausblenden,C,"Gute Gespräche beruhen auf Zuhören, Nachfragen und respektvoller Sprache.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,hard,4,Welche Handlung zeigt ein gutes Verständnis von «Textverständnis»?,Einzelwörter zählen; Zusammenhang meiden,Überschrift kopieren; Inhalt nicht prüfen,Nebensachen sammeln; Hauptaussage verlieren,Kernaussagen erfassen; Belege markieren,D,"Textverständnis verlangt Hauptaussagen, Struktur und Belege zu erkennen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,medium,5,Welche Entscheidung ist bei «Präsentieren» sinnvoll?,Klar strukturieren; Publikum einbeziehen,Alles vorlesen; Botschaft verstecken,Tempo ignorieren; Schluss weglassen,Folien überladen; Blickkontakt vermeiden,A,Eine gute Präsentation ist klar aufgebaut und auf das Publikum ausgerichtet.,SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,easy,6,Welche Aussage passt am besten zu «Berufliche Kommunikation»?,"Abkürzungen häufen; Empfänger verwirren, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien","Sachlich formulieren; Verbindlich bleiben, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen","Privat werden; Auftrag vergessen, bei Bedarf im Team, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team","Ironie einsetzen; Unklar bleiben, im konkreten Fall, anhand klarer Kriterien, mit Blick auf die Folgen, bei Bedarf im Team, im konkreten Fall",B,"Berufliche Kommunikation ist sachlich, klar und verlässlich.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,medium,7,Was ist bei «Adressatengerecht schreiben» fachlich am wichtigsten?,Details häufen; Kernaussage verstecken,Form ignorieren; Lesende überfordern,Zielgruppe beachten; Ton passend wählen,Umgangssprache nutzen; Zweck verfehlen,C,"Adressatengerechte Texte passen Inhalt, Ton und Form an die Lesenden an.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,medium,8,Welche Vorgehensweise ist im Thema «Argumentieren» richtig?,Thema wechseln; Gegenargumente meiden,Gefühle betonen; Sachbezug verlieren,Meinung behaupten; Belege auslassen,Standpunkt nennen; Begründung liefern,D,"Ein Argument verbindet Standpunkt, Begründung und passende Beispiele.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,hard,9,Welche Handlung zeigt ein gutes Verständnis von «Gesprächsführung»?,Aktiv zuhören; Nachfragen stellen,Monolog halten; Perspektiven ausblenden,Andere unterbrechen; Antwort erzwingen,Vorwürfe machen; Sachebene verlassen,A,"Gute Gespräche beruhen auf Zuhören, Nachfragen und respektvoller Sprache.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
abu,Allgemeinbildung (ABU),abu_rlp_2025,Allgemeinbildung (ABU) – RLP 2025,2,Sprache & Kommunikation,single_choice,medium,10,Welche Entscheidung ist bei «Textverständnis» sinnvoll?,Nebensachen sammeln; Hauptaussage verlieren,Kernaussagen erfassen; Belege markieren,Einzelwörter zählen; Zusammenhang meiden,Überschrift kopieren; Inhalt nicht prüfen,B,"Textverständnis verlangt Hauptaussagen, Struktur und Belege zu erkennen.",SBFI Rahmenlehrplan Allgemeinbildung 2025,https://www.sbfi.admin.ch/dam/de/sd-web/6J7xFxDA7Kj4/nRLP_ABU_DE-def.pdf
